KEYS,zh-Hans
Items.ItemTooltip.HeadlessHorsemanBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.HeadlessHorseman}
Items.ItemTooltip.HellArmoredBonesBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.HellArmoredBones}
Items.ItemTooltip.HellhoundBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Hellhound}
Items.ItemTooltip.HoppinJackBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.HoppinJack}
Items.ItemTooltip.IceBatBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.IceBat}
Items.ItemTooltip.IceGolemBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.IceGolem}
Items.ItemTooltip.IceSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.IceSlime}
Items.ItemTooltip.IchorStickerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.IchorSticker}
Items.ItemTooltip.IlluminantBatBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.IlluminantBat}
Items.ItemTooltip.IlluminantSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.IlluminantSlime}
Items.ItemTooltip.JungleBatBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.JungleBat}
Items.ItemTooltip.JungleSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.JungleSlime}
Items.ItemTooltip.KrampusBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Krampus}
Items.ItemTooltip.LacBeetleBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.LacBeetle}
Items.ItemTooltip.LavaBatBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Lavabat}
Items.ItemTooltip.LavaSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.LavaSlime}
Items.ItemTooltip.MartianBrainscramblerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.BrainScrambler}
Items.ItemTooltip.MartianDroneBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.MartianDrone}
Items.ItemTooltip.MartianEngineerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.MartianEngineer}
Items.ItemTooltip.MartianGigazapperBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GigaZapper}
Items.ItemTooltip.MartianGreyGruntBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GrayGrunt}
Items.ItemTooltip.MartianOfficerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.MartianOfficer}
Items.ItemTooltip.MartianRaygunnerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RayGunner}
Items.ItemTooltip.MartianScutlixGunnerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.ScutlixRider}
Items.ItemTooltip.MartianTeslaTurretBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.MartianTurret}
Items.ItemTooltip.MisterStabbyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.MisterStabby}
Items.ItemTooltip.MotherSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.MotherSlime}
Items.ItemTooltip.NecromancerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Necromancer}
Items.ItemTooltip.NutcrackerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Nutcracker}
Items.ItemTooltip.PaladinBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Paladin}
Items.ItemTooltip.PenguinBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Penguin}
Items.ItemTooltip.PinkyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Pinky}
Items.ItemTooltip.PoltergeistBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Poltergeist}
Items.ItemTooltip.PossessedArmorBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PossessedArmor}
Items.ItemTooltip.PresentMimicBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PresentMimic}
Items.ItemTooltip.PurpleSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PurpleSlime}
Items.ItemTooltip.RaggedCasterBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RaggedCaster}
Items.ItemTooltip.RainbowSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RainbowSlime}
Items.ItemTooltip.RavenBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Raven}
Items.ItemTooltip.RedSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RedSlime}
Items.ItemTooltip.RuneWizardBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RuneWizard}
Items.ItemTooltip.RustyArmoredBonesBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RustyArmoredBonesAxe}
Items.ItemTooltip.ScarecrowBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Scarecrow1}
Items.ItemTooltip.ScutlixBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Scutlix}
Items.ItemTooltip.SkeletonArcherBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SkeletonArcher}
Items.ItemTooltip.SkeletonCommandoBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SkeletonCommando}
Items.ItemTooltip.SkeletonSniperBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SkeletonSniper}
Items.ItemTooltip.SlimerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Slimer}
Items.ItemTooltip.SnatcherBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Snatcher}
Items.ItemTooltip.SnowBallaBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SnowBalla}
Items.ItemTooltip.SnowmanGangstaBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SnowmanGangsta}
Items.ItemTooltip.SpikedIceSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SpikedIceSlime}
Items.ItemTooltip.SpikedJungleSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SpikedJungleSlime}
Items.ItemTooltip.SplinterlingBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Splinterling}
Items.ItemTooltip.SquidBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Squid}
Items.ItemTooltip.TacticalSkeletonBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.TacticalSkeleton}
Items.ItemTooltip.TheGroomBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.TheGroom}
Items.ItemTooltip.TimBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Tim}
Items.ItemTooltip.UndeadMinerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.UndeadMiner}
Items.ItemTooltip.UndeadVikingBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.UndeadViking}
Items.ItemTooltip.WhiteCultistArcherBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CultistArcherWhite}
Items.ItemTooltip.WhiteCultistCasterBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.None}
Items.ItemTooltip.WhiteCultistFighterBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.None}
Items.ItemTooltip.YellowSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.YellowSlime}
Items.ItemTooltip.YetiBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Yeti}
Items.ItemTooltip.ZombieElfBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.ZombieElf}
Items.ItemTooltip.SparkyPainting,"{$PaintingArtist.Crowno}
“爱的回忆”"
Items.ItemTooltip.PaintingAcorns,{$PaintingArtist.Lazure}
Items.ItemTooltip.PaintingColdSnap,{$PaintingArtist.Lazure}
Items.ItemTooltip.PaintingCursedSaint,{$PaintingArtist.Lazure}
Items.ItemTooltip.PaintingSnowfellas,{$PaintingArtist.Lazure}
Items.ItemTooltip.PaintingTheSeason,{$PaintingArtist.Lazure}
Items.ItemTooltip.RedString,{$CommonItemTooltip.String}
Items.ItemTooltip.OrangeString,{$CommonItemTooltip.String}
Items.ItemTooltip.YellowString,{$CommonItemTooltip.String}
Items.ItemTooltip.LimeString,{$CommonItemTooltip.String}
Items.ItemTooltip.GreenString,{$CommonItemTooltip.String}
Items.ItemTooltip.TealString,{$CommonItemTooltip.String}
Items.ItemTooltip.CyanString,{$CommonItemTooltip.String}
Items.ItemTooltip.SkyBlueString,{$CommonItemTooltip.String}
Items.ItemTooltip.BlueString,{$CommonItemTooltip.String}
Items.ItemTooltip.PurpleString,{$CommonItemTooltip.String}
Items.ItemTooltip.VioletString,{$CommonItemTooltip.String}
Items.ItemTooltip.PinkString,{$CommonItemTooltip.String}
Items.ItemTooltip.BrownString,{$CommonItemTooltip.String}
Items.ItemTooltip.WhiteString,{$CommonItemTooltip.String}
Items.ItemTooltip.RainbowString,{$CommonItemTooltip.String}
Items.ItemTooltip.BlackString,{$CommonItemTooltip.String}
Items.ItemTooltip.BlackCounterweight,{$CommonItemTooltip.Counterweight}
Items.ItemTooltip.BlueCounterweight,{$CommonItemTooltip.Counterweight}
Items.ItemTooltip.GreenCounterweight,{$CommonItemTooltip.Counterweight}
Items.ItemTooltip.PurpleCounterweight,{$CommonItemTooltip.Counterweight}
Items.ItemTooltip.RedCounterweight,{$CommonItemTooltip.Counterweight}
Items.ItemTooltip.YellowCounterweight,{$CommonItemTooltip.Counterweight}
Items.ItemTooltip.KingSlimeBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.EyeOfCthulhuBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.EaterOfWorldsBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.BrainOfCthulhuBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.QueenBeeBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.SkeletronBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.WallOfFleshBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.DestroyerBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.TwinsBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.SkeletronPrimeBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.PlanteraBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.GolemBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.FishronBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.CultistBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.MoonLordBossBag,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.GoblinSummonerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GoblinSummoner}
Items.ItemTooltip.SalamanderBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Salamander}
Items.ItemTooltip.GiantShellyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GiantShelly}
Items.ItemTooltip.CrawdadBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Crawdad}
Items.ItemTooltip.FritzBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Fritz}
Items.ItemTooltip.CreatureFromTheDeepBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CreatureFromTheDeep}
Items.ItemTooltip.DrManFlyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DrManFly}
Items.ItemTooltip.MothronBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Mothron}
Items.ItemTooltip.SeveredHandBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.None}
Items.ItemTooltip.ThePossessedBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.ThePossessed}
Items.ItemTooltip.ButcherBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Butcher}
Items.ItemTooltip.PsychoBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Psycho}
Items.ItemTooltip.DeadlySphereBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DeadlySphere}
Items.ItemTooltip.NailheadBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Nailhead}
Items.ItemTooltip.PoisonousSporeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.None}
Items.ItemTooltip.MedusaBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Medusa}
Items.ItemTooltip.GreekSkeletonBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GreekSkeleton}
Items.ItemTooltip.GraniteFlyerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GraniteFlyer}
Items.ItemTooltip.GraniteGolemBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GraniteGolem}
Items.ItemTooltip.BloodZombieBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.BloodZombie}
Items.ItemTooltip.DripplerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Drippler}
Items.ItemTooltip.TombCrawlerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.TombCrawlerHead}
Items.ItemTooltip.DuneSplicerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DuneSplicerHead}
Items.ItemTooltip.FlyingAntlionBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.FlyingAntlion}
Items.ItemTooltip.WalkingAntlionBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.WalkingAntlion}
Items.ItemTooltip.DesertGhoulBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertGhoul}
Items.ItemTooltip.DesertLamiaBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertLamiaDark}
Items.ItemTooltip.DesertDjinnBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertDjinn}
Items.ItemTooltip.DesertBasiliskBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertBeast}
Items.ItemTooltip.RavagerScorpionBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertScorpionWalk}
Items.ItemTooltip.StardustSoldierBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.StardustSoldier}
Items.ItemTooltip.StardustWormBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.StardustWormHead}
Items.ItemTooltip.StardustJellyfishBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.StardustJellyfishBig}
Items.ItemTooltip.StardustSpiderBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.StardustSpiderBig}
Items.ItemTooltip.Heartlands,{$PaintingArtist.Myhre}
Items.ItemTooltip.StardustLargeCellBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.StardustCellBig}
Items.ItemTooltip.SolarCoriteBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SolarCorite}
Items.ItemTooltip.SolarSrollerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SolarSroller}
Items.ItemTooltip.SolarCrawltipedeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SolarCrawltipedeHead}
Items.ItemTooltip.SolarDrakomireRiderBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SolarDrakomireRider}
Items.ItemTooltip.SolarDrakomireBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SolarDrakomire}
Items.ItemTooltip.SolarSolenianBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SolarSolenian}
Items.ItemTooltip.NebulaSoldierBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.NebulaSoldier}
Items.ItemTooltip.NebulaHeadcrabBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.NebulaHeadcrab}
Items.ItemTooltip.NebulaBrainBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.NebulaBrain}
Items.ItemTooltip.NebulaBeastBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.NebulaBeast}
Items.ItemTooltip.VortexLarvaBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.VortexLarva}
Items.ItemTooltip.VortexHornetQueenBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.VortexHornetQueen}
Items.ItemTooltip.VortexHornetBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.VortexHornet}
Items.ItemTooltip.VortexSoldierBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.VortexSoldier}
Items.ItemTooltip.VortexRiflemanBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.VortexRifleman}
Items.ItemTooltip.PirateCaptainBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PirateCaptain}
Items.ItemTooltip.PirateDeadeyeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PirateDeadeye}
Items.ItemTooltip.PirateCorsairBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PirateCorsair}
Items.ItemTooltip.PirateCrossbowerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PirateCrossbower}
Items.ItemTooltip.MartianWalkerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.MartianWalker}
Items.ItemTooltip.RedDevilBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.RedDevil}
Items.ItemTooltip.PinkJellyfishBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.PinkJellyfish}
Items.ItemTooltip.GreenJellyfishBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.GreenJellyfish}
Items.ItemTooltip.DarkMummyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DarkMummy}
Items.ItemTooltip.LightMummyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.LightMummy}
Items.ItemTooltip.AngryBonesBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.AngryBones}
Items.ItemTooltip.IceTortoiseBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.IceTortoise}
Items.ItemTooltip.SandSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandSlime}
Items.ItemTooltip.SeaSnailBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SeaSnail}
Items.ItemTooltip.MoonLordPainting,{$PaintingArtist.Crowno}
Items.ItemTooltip.SandElementalBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandElemental}
Items.ItemTooltip.SandsharkBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandShark}
Items.ItemTooltip.SandsharkCorruptBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandsharkCorrupt}
Items.ItemTooltip.SandsharkCrimsonBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandsharkCrimson}
Items.ItemTooltip.SandsharkHallowedBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.SandsharkHallow}
Items.ItemTooltip.TumbleweedBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Tumbleweed}
Items.ItemTooltip.BossBagBetsy,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.BossBagOgre,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.BossBagDarkMage,{$CommonItemTooltip.RightClickToOpen}
Items.ItemTooltip.ExplosiveBunny,搭配兔兔炮使用
Items.ItemTooltip.VialofVenom,“剧毒”
Items.ItemTooltip.HoplitePizza,{$PaintingArtist.Cheesy}
Items.ItemTooltip.VenomArrow,对目标施放酸性毒液
Items.ItemTooltip.VenomBullet,对目标施放酸性毒液
Items.ItemTooltip.PartyBullet,碰撞时爆炸成彩纸
Items.ItemTooltip.NanoBullet,造成混乱，并在撞墙后弹回
Items.ItemTooltip.ExplodingBullet,碰撞时爆炸
Items.ItemTooltip.GoldenBullet,杀死的敌人会掉落更多的钱
Items.ItemTooltip.FlaskofCursedFlames,近战和鞭子攻击会对敌人施放诅咒焰
Items.ItemTooltip.FlaskofFire,近战和鞭子攻击会点燃敌人
Items.ItemTooltip.FlaskofGold,近战和鞭子攻击会使敌人掉落更多金子
Items.ItemTooltip.FlaskofIchor,近战和鞭子攻击会降低敌人防御力
Items.ItemTooltip.FlaskofNanites,近战和鞭子攻击会迷惑敌人
Items.ItemTooltip.FlaskofParty,近战和鞭子攻击会喷撒彩纸
Items.ItemTooltip.FlaskofPoison,近战和鞭子攻击会使敌人中毒
Items.ItemTooltip.CobaltBreastplate,暴击率增加5%
Items.ItemTooltip.CobaltLeggings,移动速度提高10%，伤害增加3%
Items.ItemTooltip.MythrilChainmail,伤害增加7%
Items.ItemTooltip.MythrilGreaves,暴击率增加10%
Items.ItemTooltip.RocketI,爆破半径小。不会破坏图格
Items.ItemTooltip.RocketII,爆破半径小。会破坏图格
Items.ItemTooltip.RocketIII,爆破半径大。不会破坏图格
Items.ItemTooltip.RocketIV,爆破半径大。会破坏图格
Items.ItemTooltip.AsphaltBlock,提高奔跑速度
Items.ItemTooltip.CobaltPickaxe,可开采秘银和山铜
Items.ItemTooltip.MythrilPickaxe,可开采精金和钛金
Items.ItemTooltip.Cannonball,搭配大炮使用
Items.ItemTooltip.Arkhalis,“我没拿到真空之刃”
Items.ItemTooltip.BoneGlove,你发动攻击时向敌人发射交叉骨
Items.ItemTooltip.LogicGate_AND,所有灯亮时激活，其他情况下停用
Items.ItemTooltip.LogicGate_NAND,部分灯亮时激活，其他情况下停用
Items.ItemTooltip.DD2FlameburstTowerT2Popper,{$ItemTooltip.DD2FlameburstTowerT1Popper}
Items.ItemTooltip.DD2FlameburstTowerT3Popper,{$ItemTooltip.DD2FlameburstTowerT1Popper}
Items.ItemTooltip.DD2BallistraTowerT2Popper,{$ItemTooltip.DD2BallistraTowerT1Popper}
Items.ItemTooltip.DD2BallistraTowerT3Popper,{$ItemTooltip.DD2BallistraTowerT1Popper}
Items.ItemTooltip.DD2ExplosiveTrapT2Popper,{$ItemTooltip.DD2ExplosiveTrapT1Popper}
Items.ItemTooltip.DD2ExplosiveTrapT3Popper,{$ItemTooltip.DD2ExplosiveTrapT1Popper}
Items.ItemTooltip.DD2LightningAuraT2Popper,{$ItemTooltip.DD2LightningAuraT1Popper}
Items.ItemTooltip.DD2LightningAuraT3Popper,{$ItemTooltip.DD2LightningAuraT1Popper}
Items.ItemTooltip.ApprenticeScarf,{$ItemTooltip.HuntressBuckler}
Items.ItemTooltip.SquireShield,{$ItemTooltip.HuntressBuckler}
Items.ItemTooltip.MonkBelt,{$ItemTooltip.HuntressBuckler}
Items.ItemTooltip.SuspiciouslySparkly,{$PaintingArtist.Jenosis}
Items.ItemTooltip.AHorribleNightforAlchemy,{$PaintingArtist.Altermaven}
Items.ItemTooltip.MorningHunt,{$PaintingArtist.Myhre}
Items.ItemTooltip.NotSoLostInParadise,{$PaintingArtist.Jenosis}
Items.ItemTooltip.ApprenticeStaffT3,溅弹防御减少瘴气！
Items.ItemTooltip.RemnantsofDevotion,{$PaintingArtist.Criddle}
Items.ItemTooltip.BookStaff,"想知道是谁把一本无限智慧巨著戳在一根棍子上...
<right>以施放强大的龙卷风"
Items.ItemTooltip.DD2BallistraTowerT1Popper,"{$CommonItemTooltip.Sentry}
速度缓慢但伤害力极高的塔，可以射出穿透性箭矢
{$CommonItemTooltip.EtherianManaCost10}"
Items.ItemTooltip.DD2BetsyBow,射出分裂的箭，对空中的敌人造成更多伤害
Items.ItemTooltip.DD2ElderCrystal,放入埃特尼亚水晶座以召唤埃特尼亚的传送门
Items.ItemTooltip.DD2EnergyCrystal,经常用于以物理形式的防御表现一个人的意志力
Items.ItemTooltip.DD2ExplosiveTrapT1Popper,"{$CommonItemTooltip.Sentry}
可在敌人来到附近时爆炸的机关
{$CommonItemTooltip.EtherianManaCost10}"
Items.ItemTooltip.DD2FlameburstTowerT1Popper,"{$CommonItemTooltip.Sentry}
一般速度的塔，可以射出爆炸的火球
{$CommonItemTooltip.EtherianManaCost10}"
Items.ItemTooltip.DD2PetDragon,召唤宠物龙
Items.ItemTooltip.DD2PetGato,召唤宠物Gato
Items.ItemTooltip.DD2PetGhost,召唤宠物闪烁灯芯来提供照明
Items.ItemTooltip.DD2PhoenixBow,利用不朽火焰的力量
Items.ItemTooltip.DD2SquireBetsySword,向前释放心的能量
Items.ItemTooltip.DD2SquireDemonSword,<right>以用护盾防护
Items.ItemTooltip.DefenderMedal,用于与酒馆老板进行交易的货币
Items.ItemTooltip.FairyGuides,{$PaintingArtist.Serenity}
Items.ItemTooltip.DD2LightningBugBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2LightningBugT3}
Items.ItemTooltip.Outcast,{$PaintingArtist.darthmorf}
Items.ItemTooltip.HighPitch,{$PaintingArtist.Disc}
Items.ItemTooltip.TerraBladeChronicles,{$PaintingArtist.Serenity}
Items.ItemTooltip.AMachineforTerrarians,{$PaintingArtist.Aurora}
Items.ItemTooltip.HuntressWig,哨兵数量上限提高1个，远程暴击率提高10%
Items.ItemTooltip.DD2JavelinThrowerBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2JavelinstT1}
Items.ItemTooltip.DD2WitherBeastBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2WitherBeastT2}
Items.ItemTooltip.DD2WyvernBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2WyvernT1}
Items.ItemTooltip.MySon,{$PaintingArtist.Leinfors}
Items.ItemTooltip.MonkStaffT1,可在挥动以粉碎敌人时补充能量
Items.ItemTooltip.MonkStaffT2,可在击打敌人时召唤鬼魂
Items.ItemTooltip.MonkStaffT3,<right>握持时则可交替展开攻击！
Items.ItemTooltip.StingerNecklace,"盔甲穿透力增加5
受到伤害后释放蜜蜂，并将使用者浸入蜂蜜"
Items.ItemTooltip.SquireGreatHelm,哨兵数量上限提高1个，提高生命再生速度
Items.ItemTooltip.Duality,{$PaintingArtist.Disc}
Items.ItemTooltip.ParsecPals,{$PaintingArtist.Boba}
Items.ItemTooltip.ArkhalisShirt,{$ItemTooltip.ArkhalisHat}
Items.ItemTooltip.ArkhalisPants,{$ItemTooltip.ArkhalisHat}
Items.ItemTooltip.ArkhalisWings,"{$ItemTooltip.ArkhalisHat}
{$CommonItemTooltip.FlightAndSlowfall}"
Items.ItemTooltip.ArkhalisHat,"{$CommonItemTooltip.DevItem}
'我没有从网格中拿到'"
Items.ItemTooltip.LeinforsHat,"{$CommonItemTooltip.DevItem}
'为了保持甜美动人的风格'"
Items.ItemTooltip.LeinforsShirt,"{$CommonItemTooltip.DevItem}
'重获性感'"
Items.ItemTooltip.LeinforsPants,"{$CommonItemTooltip.DevItem}
“口袋里可能有意大利面”"
Items.ItemTooltip.LeinforsWings,"{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}
“到处都是！啥意思啊？！”"
Items.ItemTooltip.LeinforsAccessory,"{$CommonItemTooltip.DevItem}
“莱恩公司出品”"
Items.ItemTooltip.WoodenCrateHard,{$ItemTooltip.WoodenCrate}
Items.ItemTooltip.IronCrateHard,{$ItemTooltip.IronCrate}
Items.ItemTooltip.GoldenCrateHard,{$ItemTooltip.GoldenCrate}
Items.ItemTooltip.CorruptFishingCrateHard,{$ItemTooltip.CorruptFishingCrate}
Items.ItemTooltip.CrimsonFishingCrateHard,{$ItemTooltip.CrimsonFishingCrate}
Items.ItemTooltip.DungeonFishingCrateHard,{$ItemTooltip.DungeonFishingCrate}
Items.ItemTooltip.FloatingIslandFishingCrateHard,{$ItemTooltip.FloatingIslandFishingCrate}
Items.ItemTooltip.HallowedFishingCrateHard,{$ItemTooltip.HallowedFishingCrate}
Items.ItemTooltip.JungleFishingCrateHard,{$ItemTooltip.JungleFishingCrate}
Items.ItemTooltip.GolfBall,{$CommonItemTooltip.GolfBall}
Items.ItemTooltip.GolfClubIron,{$CommonItemTooltip.GolfIron}
Items.ItemTooltip.GolfClubPutter,{$CommonItemTooltip.GolfPutter}
Items.ItemTooltip.GolfClubWedge,{$CommonItemTooltip.GolfWedge}
Items.ItemTooltip.GolfClubDriver,{$CommonItemTooltip.GolfDriver}
Items.ItemTooltip.GolfBallDyedBlack,{$CommonItemTooltip.GolfBall}
